Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
PCG,9.45,Call,11.00,07/31/20,29,0.40,0.42,0.43,0.40,138048,715,193.07,85.95%,07/02/20
EOG,50.52,Call,55.00,08/21/20,50,1.98,2.05,2.11,2.10,8082,117,69.08,50.25%,07/02/20
PCG,9.45,Put,9.00,01/15/21,197,1.70,1.78,1.86,1.73,6583,101,65.18,74.40%,07/02/20
SFIX,28.55,Call,30.00,07/10/20,8,0.56,0.57,0.57,0.56,7056,117,60.31,65.88%,07/02/20
CZR,12.3,Put,12.00,01/21/22,568,1.77,1.9,2.03,5.26,8378,182,46.03,98.46%,07/02/20
QTT,3.46,Call,2.50,07/17/20,15,1.00,1.05,1.10,1.10,12150,270,45,198.64%,07/02/20
GNUS,3.55,Put,2.50,07/10/20,8,0.25,0.3,0.35,0.32,4611,107,43.09,418.23%,07/02/20
IRDM,26.46,Call,30.00,08/21/20,50,1.10,1.13,1.15,1.12,4022,117,34.38,59.80%,07/02/20
VZ,54.79,Put,53.00,07/31/20,29,0.86,0.93,1.00,0.82,4216,123,34.28,26.01%,07/02/20
STM,27.09,Call,30.00,08/21/20,50,0.80,0.83,0.85,0.81,4334,142,30.52,45.36%,07/02/20
PBR,8.48,Call,11.00,01/15/21,197,0.46,0.52,0.58,0.57,15413,511,30.16,52.66%,07/02/20
LRCX,323.7,Call,340.00,07/10/20,8,2.80,2.84,2.88,2.88,7688,261,29.46,44.30%,07/02/20
TSLA,1208.66,Put,1140.00,07/10/20,8,12.30,12.75,13.20,13.15,2890,101,28.61,55.01%,07/02/20
ERI,41.2,Put,41.00,07/17/20,15,2.40,3.03,3.65,2.89,5661,200,28.31,90.43%,07/02/20
WSM,83.2,Call,87.50,08/21/20,50,2.95,3.13,3.30,3.10,3813,144,26.48,38.88%,07/02/20
INO,21.45,Put,30.00,08/21/20,50,12.15,12.48,12.80,12.78,5008,192,26.08,213.18%,07/02/20
SFIX,28.55,Call,28.00,07/10/20,8,1.17,1.31,1.45,1.27,2638,104,25.37,57.81%,07/02/20
ET,7.04,Call,8.00,07/31/20,29,0.10,0.11,0.11,0.12,14389,589,24.43,52.41%,07/02/20
VIPS,20.48,Call,26.00,08/21/20,50,0.30,0.38,0.45,0.40,3091,129,23.96,61.33%,07/02/20
ZTO,37.53,Call,39.71,01/15/21,197,3.50,3.7,3.90,3.90,3861,164,23.54,42.57%,07/02/20
TSLA,1208.66,Put,1150.00,07/10/20,8,14.50,14.93,15.35,15.40,6884,304,22.64,54.31%,07/02/20
TSLA,1208.66,Put,1180.00,07/10/20,8,23.45,24.15,24.85,24.34,2374,108,21.98,52.56%,07/02/20
GNUS,3.55,Call,3.50,07/10/20,8,0.55,0.6,0.65,0.60,26172,1200,21.81,277.74%,07/02/20
HON,145.02,Put,130.00,08/21/20,50,2.34,2.59,2.83,2.75,2519,119,21.17,40.64%,07/02/20
TSLA,1208.66,Put,1190.00,07/10/20,8,27.80,28.3,28.80,28.50,2491,125,19.93,52.60%,07/02/20
ERIC,9.31,Put,9.00,10/16/20,106,0.65,0.68,0.70,0.65,6865,348,19.73,41.42%,07/02/20
TSLA,1208.66,Put,1170.00,07/10/20,8,20.30,20.73,21.15,20.95,2434,125,19.47,53.07%,07/02/20
GNUS,3.55,Call,3.00,07/10/20,8,0.80,0.83,0.85,0.75,45632,2356,19.37,217.60%,07/02/20
HLT,74.52,Put,72.50,10/16/20,106,6.70,6.85,7.00,7.00,2035,112,18.17,51.58%,07/02/20
GNUS,3.55,Call,4.00,07/10/20,8,0.45,0.48,0.50,0.49,19702,1087,18.13,313.27%,07/02/20
KHC,31.81,Call,33.00,07/31/20,29,0.58,0.76,0.94,0.80,5736,327,17.54,35.59%,07/02/20
RRR,10.79,Put,10.00,08/21/20,50,1.05,1.13,1.20,1.10,2539,147,17.27,96.38%,07/02/20
TSLA,1208.66,Put,1220.00,07/10/20,8,42.40,43.5,44.60,43.80,2048,121,16.93,53.10%,07/02/20
INTC,59.13,Put,59.50,07/10/20,8,1.03,1.1,1.17,1.17,3384,201,16.84,28.10%,07/02/20
IQ,23.82,Call,24.00,07/17/20,15,1.00,1.08,1.15,1.04,2338,141,16.58,58.02%,07/02/20
PENN,30.93,Call,47.00,07/17/20,15,0.09,0.18,0.27,0.13,5558,338,16.44,115.22%,07/02/20
CCL,15.88,Call,15.00,07/10/20,8,1.15,1.21,1.26,1.23,5596,341,16.41,76.90%,07/02/20
PFE,34.51,Put,34.50,07/10/20,8,0.53,0.58,0.62,0.58,5527,338,16.35,28.97%,07/02/20
DOCU,190.99,Call,195.00,07/10/20,8,2.90,4.15,5.40,4.70,1806,111,16.27,56.91%,07/02/20
ROKU,128.65,Call,132.00,07/10/20,8,2.79,2.9,3.00,2.85,3289,208,15.81,55.94%,07/02/20
ZM,261.74,Call,272.50,07/10/20,8,2.25,2.38,2.50,2.26,1799,114,15.78,39.23%,07/02/20
TSLA,1208.66,Put,1095.00,07/10/20,8,6.90,7.03,7.15,7.06,1647,109,15.11,60.72%,07/02/20
