Symbol,Price,Type,Strike,"Exp Date",DTE,Bid,Midpoint,Ask,Last,Volume,"Open Int",Vol/OI,IV,Time
SQ,113.39,Put,108.00,07/10/20,8,1.05,1.1,1.15,1.12,2269,153,14.83,47.56%,07/02/20
GNUS,3.55,Call,4.50,07/10/20,8,0.35,0.38,0.40,0.40,4732,322,14.7,335.12%,07/02/20
GOOG,1464.7,Call,1500.00,07/10/20,8,5.00,6.25,7.50,6.90,2417,174,13.89,22.37%,07/02/20
CAR,25.92,Call,32.00,07/17/20,15,0.30,0.32,0.35,0.35,2751,206,13.35,92.13%,07/02/20
PDD,93,Call,95.00,07/10/20,8,2.28,2.4,2.52,2.36,3095,240,12.9,58.58%,07/02/20
WYNN,77.32,Call,82.50,07/17/20,15,2.02,2.14,2.26,2.03,3973,309,12.86,63.44%,07/02/20
MSFT,206.26,Call,215.00,09/18/20,78,5.60,6.7,7.80,6.97,2589,202,12.82,27.15%,07/02/20
INTC,59.13,Call,65.00,06/18/21,351,4.40,4.65,4.90,4.60,1319,103,12.81,28.33%,07/02/20
NIO,9.38,Call,11.00,07/10/20,8,0.36,0.37,0.38,0.37,16762,1310,12.8,162.23%,07/02/20
PCG,9.45,Call,9.50,07/31/20,29,0.76,0.84,0.91,0.83,1618,128,12.64,79.94%,07/02/20
LVS,46.34,Call,53.00,07/17/20,15,0.25,0.28,0.30,0.27,1313,105,12.5,52.88%,07/02/20
CCL,15.88,Put,15.50,07/10/20,8,0.59,0.64,0.69,0.61,10761,875,12.3,85.06%,07/02/20
TSLA,1208.66,Call,1340.00,07/10/20,8,8.60,9.15,9.70,9.55,3489,288,12.11,66.45%,07/02/20
AU,28.98,Put,25.00,01/15/21,197,2.70,2.83,2.95,2.75,2033,170,11.96,58.07%,07/02/20
MSFT,206.26,Put,205.00,08/21/20,50,8.00,9.65,11.30,8.75,1703,143,11.91,31.53%,07/02/20
GPS,12.28,Call,12.00,07/10/20,8,0.66,0.78,0.90,0.74,3299,277,11.91,81.97%,07/02/20
JPM,92.66,Call,92.50,07/17/20,15,3.20,3.28,3.35,3.25,1590,134,11.87,41.98%,07/02/20
CCL,15.88,Call,16.00,07/17/20,15,0.94,0.96,0.98,0.94,8909,756,11.78,77.23%,07/02/20
SPOT,271.49,Call,300.00,07/10/20,8,2.05,2.15,2.25,2.25,6228,532,11.71,66.11%,07/02/20
IRDM,26.46,Call,30.00,10/16/20,106,2.00,2.08,2.15,2.05,4268,370,11.54,58.03%,07/02/20
JD,61.39,Call,70.00,12/18/20,169,3.75,3.95,4.15,4.00,1948,169,11.53,41.66%,07/02/20
SQ,113.39,Call,150.00,01/15/21,197,6.50,7,7.50,7.05,1110,100,11.1,52.60%,07/02/20
MMM,157.04,Call,160.00,07/10/20,8,0.88,0.99,1.09,0.90,2902,265,10.95,21.71%,07/02/20
TSLA,1208.66,Call,1400.00,07/10/20,8,6.05,6.28,6.50,6.06,8663,795,10.9,74.30%,07/02/20
GNUS,3.55,Call,3.50,07/17/20,15,0.60,0.63,0.65,0.65,9962,920,10.83,220.65%,07/02/20
LITE,82.26,Put,80.00,07/17/20,15,1.75,2.05,2.35,1.80,1264,118,10.71,42.76%,07/02/20
NVDA,384.49,Call,445.00,07/17/20,15,0.40,0.44,0.48,0.48,5676,536,10.59,39.94%,07/02/20
GOOGL,1469.93,Call,1500.00,07/10/20,8,8.90,9.05,9.20,9.00,7140,674,10.59,23.37%,07/02/20
AMZN,2890.3,Call,2940.00,07/10/20,8,21.80,24.7,27.60,28.45,2294,217,10.57,28.48%,07/02/20
AMZN,2890.3,Call,2950.00,07/10/20,8,22.90,23.73,24.55,24.00,3646,351,10.39,27.69%,07/02/20
AMZN,2890.3,Put,2850.00,07/10/20,8,27.15,28.67,30.20,30.20,2550,247,10.32,28.33%,07/02/20
NIO,9.38,Call,15.00,07/10/20,8,0.09,0.1,0.11,0.10,4069,398,10.22,207.75%,07/02/20
XLNX,95.29,Call,99.00,07/10/20,8,0.59,0.72,0.85,0.70,1182,116,10.19,35.41%,07/02/20
GNUS,3.55,Call,5.00,07/10/20,8,0.35,0.38,0.40,0.40,4584,457,10.03,386.99%,07/02/20
NIO,9.38,Call,9.50,07/17/20,15,1.02,1.04,1.05,1.05,3620,364,9.95,145.47%,07/02/20
LULU,304.77,Call,350.00,07/10/20,8,0.17,0.27,0.36,0.26,1040,105,9.9,49.01%,07/02/20
NIO,9.38,Call,13.00,07/10/20,8,0.16,0.18,0.19,0.16,1521,154,9.88,181.20%,07/02/20
GNUS,3.55,Call,2.50,07/10/20,8,1.05,1.08,1.10,1.10,23373,2410,9.7,198.37%,07/02/20
TSLA,1208.66,Put,1200.00,07/17/20,15,51.75,52.43,53.10,51.75,2199,227,9.69,57.86%,07/02/20
JD,61.39,Put,62.00,07/10/20,8,1.45,1.5,1.54,1.48,1193,124,9.62,31.87%,07/02/20
RAD,17.22,Call,22.00,10/16/20,106,1.34,1.85,2.36,1.71,1500,156,9.62,86.20%,07/02/20
AMZN,2890.3,Call,2910.00,07/10/20,8,32.15,36.3,40.45,37.30,1671,177,9.44,26.91%,07/02/20
AVYA,12.76,Call,12.50,08/21/20,50,1.75,1.8,1.85,1.82,3028,321,9.43,90.27%,07/02/20
SNAP,23.22,Call,24.50,07/24/20,22,0.66,0.69,0.72,0.70,4565,487,9.37,52.63%,07/02/20
PENN,30.93,Put,28.00,07/10/20,8,0.54,0.55,0.55,0.56,1209,130,9.3,93.46%,07/02/20
MS,47.79,Put,37.00,08/21/20,50,0.31,0.35,0.38,0.34,1026,111,9.24,52.12%,07/02/20
DOCU,190.99,Call,200.00,07/10/20,8,2.75,2.98,3.20,2.95,3990,437,9.13,56.00%,07/02/20
GNUS,3.55,Call,6.50,07/10/20,8,0.20,0.23,0.25,0.25,2480,273,9.08,417.38%,07/02/20
AMZN,2890.3,Call,2970.00,07/10/20,8,13.50,18.03,22.55,18.28,915,101,9.06,27.55%,07/02/20
BDX,245.03,Call,270.00,07/17/20,15,0.60,0.7,0.80,0.70,1724,191,9.03,34.62%,07/02/20
ROKU,128.65,Call,133.00,07/10/20,8,2.30,2.43,2.57,2.49,2065,229,9.02,55.75%,07/02/20
NIO,9.38,Call,9.50,07/10/20,8,0.71,0.72,0.72,0.72,15449,1726,8.95,139.65%,07/02/20
AMZN,2890.3,Call,3000.00,07/10/20,8,12.10,12.45,12.80,12.65,10555,1182,8.93,28.16%,07/02/20
PCG,9.45,Call,11.50,07/31/20,29,0.30,0.34,0.38,0.32,889,100,8.89,88.42%,07/02/20
AAPL,364.11,Call,380.00,07/10/20,8,0.70,0.77,0.85,0.81,25868,2909,8.89,24.54%,07/02/20
ERIC,9.31,Put,10.00,10/16/20,106,1.05,1.25,1.45,1.17,6862,790,8.69,38.93%,07/02/20
LULU,304.77,Call,350.00,07/24/20,22,1.30,1.39,1.47,1.44,936,108,8.67,42.11%,07/02/20
VALE,10.41,Put,9.50,07/17/20,15,0.06,0.1,0.13,0.12,1287,150,8.58,53.73%,07/02/20
MSFT,206.26,Put,207.50,07/10/20,8,3.30,3.65,4.00,3.70,3739,436,8.58,25.19%,07/02/20
TSLA,1208.66,Call,1500.00,07/10/20,8,3.15,3.18,3.20,3.20,10210,1190,8.58,86.11%,07/02/20
AMZN,2890.3,Call,2920.00,07/10/20,8,32.00,34.43,36.85,32.30,1883,220,8.56,26.37%,07/02/20
AAPL,364.11,Put,370.00,07/10/20,8,6.30,7.38,8.45,8.04,4358,510,8.55,21.16%,07/02/20
BHC,18.34,Call,18.50,07/10/20,8,0.40,0.44,0.47,0.50,1691,198,8.54,52.77%,07/02/20
ETM,1.54,Call,2.00,12/18/20,169,0.55,0.58,0.60,0.54,2471,291,8.49,163.98%,07/02/20
GNUS,3.55,Put,3.50,07/17/20,15,1.15,1.2,1.25,1.25,4548,536,8.49,464.26%,07/02/20
GNUS,3.55,Call,6.00,07/10/20,8,0.20,0.25,0.30,0.30,1686,199,8.47,414.41%,07/02/20
AMZN,2890.3,Put,2880.00,07/10/20,8,38.70,41.1,43.50,40.80,964,114,8.46,27.11%,07/02/20
NIO,9.38,Call,11.00,07/17/20,15,0.64,0.66,0.67,0.66,14113,1684,8.38,160.28%,07/02/20
XERS,2.79,Call,2.50,01/15/21,197,1.00,1.25,1.50,1.40,1359,163,8.34,171.29%,07/02/20
TSLA,1208.66,Call,1380.00,07/10/20,8,6.50,6.93,7.35,7.35,1432,173,8.28,72.73%,07/02/20
NIO,9.38,Call,10.00,07/10/20,8,0.57,0.58,0.59,0.59,14599,1776,8.22,151.29%,07/02/20
WIX,272.85,Call,290.00,07/17/20,15,2.60,3.65,4.70,3.50,1236,153,8.08,42.75%,07/02/20
NVDA,384.49,Call,390.00,08/21/20,50,22.35,22.98,23.60,23.09,5185,645,8.04,44.50%,07/02/20
AMZN,2890.3,Call,2930.00,07/10/20,8,24.85,28.93,33.00,30.00,1759,219,8.03,27.27%,07/02/20
TSLA,1208.66,Call,1300.00,07/10/20,8,13.55,13.8,14.05,13.60,18946,2375,7.98,61.15%,07/02/20
ROKU,128.65,Call,131.00,07/10/20,8,3.05,3.18,3.30,3.20,1704,214,7.96,55.52%,07/02/20
LYFT,31.82,Put,30.50,07/10/20,8,0.46,0.51,0.55,0.54,831,105,7.91,58.54%,07/02/20
BABA,223.6,Call,230.00,07/10/20,8,1.29,1.35,1.40,1.33,11361,1437,7.91,27.30%,07/02/20
STX,47.34,Call,51.00,07/17/20,15,0.12,0.2,0.27,0.26,802,102,7.86,34.65%,07/02/20
DKNG,33.06,Put,28.00,07/17/20,15,0.60,0.65,0.70,0.65,1321,169,7.82,96.50%,07/02/20
MRNA,58.57,Call,60.00,07/10/20,8,2.90,3,3.10,3.04,2889,372,7.77,105.88%,07/02/20
T,30.08,Put,27.50,07/24/20,22,0.25,0.28,0.30,0.25,3072,400,7.68,38.78%,07/02/20
TSLA,1208.66,Call,1280.00,07/10/20,8,16.30,16.65,17.00,16.43,4237,553,7.66,58.40%,07/02/20
WSM,83.2,Call,85.00,08/21/20,50,3.90,4.1,4.30,4.11,999,131,7.63,39.40%,07/02/20
AMZN,2890.3,Call,2960.00,07/10/20,8,18.00,20.95,23.90,23.65,1357,178,7.62,29.41%,07/02/20
JD,61.39,Put,61.00,07/10/20,8,0.95,1.02,1.08,0.97,1324,174,7.61,32.19%,07/02/20
DOCU,190.99,Put,175.00,08/21/20,50,7.30,8.15,9.00,8.48,882,116,7.6,56.74%,07/02/20
GNUS,3.55,Call,5.50,07/10/20,8,0.25,0.3,0.35,0.30,1228,162,7.58,378.04%,07/02/20
GM,25.24,Call,27.00,07/31/20,29,0.70,0.73,0.76,0.74,2160,286,7.55,49.21%,07/02/20
BYND,140.72,Put,141.00,07/10/20,8,5.10,5.45,5.80,5.31,924,123,7.51,62.43%,07/02/20
BYND,140.72,Call,115.00,07/10/20,8,23.90,25.73,27.55,25.85,1674,224,7.47,66.72%,07/02/20
ROKU,128.65,Call,140.00,07/10/20,8,1.02,1.03,1.04,1.05,17021,2288,7.44,59.12%,07/02/20
ROKU,128.65,Call,133.00,07/17/20,15,4.55,4.68,4.80,4.65,859,116,7.41,62.12%,07/02/20
TSLA,1208.66,Call,1480.00,07/10/20,8,3.55,3.65,3.75,3.60,734,100,7.34,83.86%,07/02/20
MRNA,58.57,Call,58.00,07/10/20,8,3.50,3.7,3.90,3.88,877,120,7.31,104.06%,07/02/20
JPM,92.66,Call,98.00,07/10/20,8,0.25,0.28,0.31,0.26,7271,1009,7.21,31.79%,07/02/20
LFC,10.91,Call,7.50,07/17/20,15,3.30,3.4,3.50,3.40,1200,167,7.19,0.00%,07/02/20
KHC,31.81,Call,32.50,07/31/20,29,0.76,0.95,1.13,0.90,3515,489,7.19,33.17%,07/02/20
NIO,9.38,Call,12.00,07/10/20,8,0.24,0.26,0.27,0.26,5049,702,7.19,177.38%,07/02/20
MSFT,206.26,Put,207.50,07/17/20,15,4.35,4.93,5.50,4.90,1752,247,7.09,25.82%,07/02/20
TSLA,1208.66,Call,1240.00,07/10/20,8,25.50,25.55,25.60,25.60,9608,1356,7.09,54.16%,07/02/20
SPOT,271.49,Call,280.00,07/10/20,8,5.50,5.55,5.60,5.50,2245,318,7.06,55.89%,07/02/20
PCG,9.45,Put,8.00,12/18/20,169,1.05,1.15,1.25,1.15,2094,298,7.03,77.42%,07/02/20
BWA,35.19,Call,42.50,08/21/20,50,0.40,0.68,0.95,0.45,1145,163,7.02,45.91%,07/02/20
HALO,28.51,Call,28.00,07/17/20,15,1.15,1.17,1.20,1.20,1193,170,7.02,39.97%,07/02/20
ET,7.04,Put,7.00,07/10/20,8,0.10,0.12,0.13,0.11,7460,1063,7.02,31.36%,07/02/20
LULU,304.77,Call,360.00,07/24/20,22,0.95,0.99,1.03,0.95,754,108,6.98,43.81%,07/02/20
PDD,93,Call,100.00,07/17/20,15,2.09,2.33,2.57,2.10,4550,658,6.91,61.49%,07/02/20
AMZN,2890.3,Put,2840.00,07/10/20,8,20.80,23.4,26.00,23.79,794,115,6.9,26.49%,07/02/20
BPY,11.39,Put,12.50,09/18/20,78,1.95,2.1,2.25,2.05,2349,341,6.89,66.30%,07/02/20
MOS,12.85,Call,30.00,01/21/22,568,0.00,0.37,0.73,0.45,793,118,6.72,48.48%,07/02/20
SQ,113.39,Call,120.00,07/10/20,8,1.07,1.12,1.17,1.08,6019,899,6.7,49.41%,07/02/20
INTC,59.13,Call,59.50,07/10/20,8,0.68,0.74,0.80,0.71,3269,491,6.66,24.97%,07/02/20
KHC,31.81,Put,31.00,07/24/20,22,0.28,0.56,0.84,0.54,723,109,6.63,29.18%,07/02/20
AMZN,2890.3,Call,3100.00,07/10/20,8,4.00,4.35,4.70,4.40,2717,410,6.63,31.95%,07/02/20
PYPL,177.21,Put,180.00,07/17/20,15,5.80,5.93,6.05,6.00,1459,222,6.57,31.39%,07/02/20
VIAC,23.25,Call,27.00,07/31/20,29,0.10,0.5,0.90,0.69,1610,245,6.57,72.16%,07/02/20
ROKU,128.65,Put,127.00,07/10/20,8,3.20,3.3,3.40,3.15,1727,263,6.57,52.17%,07/02/20
ZM,261.74,Call,275.00,07/10/20,8,1.60,1.75,1.90,1.79,1753,267,6.57,39.80%,07/02/20
NFLX,476.89,Put,480.00,07/10/20,8,10.30,10.78,11.25,10.75,2271,346,6.56,32.55%,07/02/20
ROKU,128.65,Put,120.00,07/10/20,8,1.00,1.05,1.10,1.05,3227,492,6.56,54.11%,07/02/20
TSLA,1208.66,Call,1220.00,07/10/20,8,31.55,32.1,32.65,32.50,7786,1192,6.53,52.62%,07/02/20
AMZN,2890.3,Call,2700.00,07/17/20,15,191.00,199.83,208.65,203.72,8294,1271,6.53,30.70%,07/02/20
NIO,9.38,Call,10.00,08/07/20,36,1.29,1.36,1.43,1.40,860,132,6.52,140.11%,07/02/20
SOLO,3.13,Call,5.00,07/17/20,15,0.30,0.32,0.35,0.35,24750,3804,6.51,322.91%,07/02/20
MU,49.83,Put,49.50,07/10/20,8,0.81,0.84,0.86,0.87,796,124,6.42,35.25%,07/02/20
C,50.55,Put,51.00,07/10/20,8,1.40,1.44,1.48,1.49,1278,199,6.42,42.07%,07/02/20
ON,19.18,Call,21.00,01/15/21,197,2.40,2.53,2.65,2.50,1166,182,6.41,56.06%,07/02/20
AMZN,2890.3,Put,2600.00,09/18/20,78,67.00,70.23,73.45,68.87,1659,260,6.38,35.69%,07/02/20
PTON,59.16,Put,35.00,10/16/20,106,0.85,0.88,0.90,0.90,10443,1638,6.38,77.21%,07/02/20
TSLA,1208.66,Call,1260.00,07/10/20,8,20.45,20.48,20.50,20.50,11209,1771,6.33,56.33%,07/02/20
DBX,21.65,Put,21.50,07/17/20,15,0.36,0.51,0.65,0.53,1258,199,6.32,34.85%,07/02/20
PCG,9.45,Call,10.00,07/24/20,22,0.40,0.48,0.56,0.47,1603,254,6.31,74.49%,07/02/20
ASNA,1.25,Put,1.00,08/21/20,50,0.20,0.23,0.25,0.25,2267,359,6.31,225.48%,07/02/20
BA,180.81,Call,305.00,12/18/20,169,4.40,5.25,6.10,5.80,1021,162,6.3,64.00%,07/02/20
INTC,59.13,Call,60.00,07/10/20,8,0.50,0.54,0.58,0.52,22983,3647,6.3,25.05%,07/02/20
CVNA,128.53,Call,135.00,07/10/20,8,1.62,2.46,3.30,2.50,722,115,6.28,65.33%,07/02/20
TSLA,1208.66,Put,1240.00,07/10/20,8,53.60,56.7,59.80,56.92,746,119,6.27,54.69%,07/02/20
SBSW,8.76,Put,5.00,01/15/21,197,0.30,0.35,0.40,0.40,916,146,6.27,85.52%,07/02/20
CCL,15.88,Put,5.00,09/18/20,78,0.07,0.15,0.22,0.16,1024,164,6.24,160.59%,07/02/20
AMZN,2890.3,Call,2890.00,07/10/20,8,43.00,45.5,48.00,45.00,1476,237,6.23,26.01%,07/02/20
DKNG,33.06,Call,34.50,07/10/20,8,0.90,0.95,1.00,0.98,2068,332,6.23,79.95%,07/02/20
HUM,391.89,Call,395.00,07/10/20,8,3.90,4.85,5.80,5.51,659,106,6.22,29.70%,07/02/20
REV,10.2,Call,12.50,07/17/20,15,0.75,0.78,0.80,0.75,807,130,6.21,181.33%,07/02/20
PLUG,9.1,Put,10.00,07/10/20,8,1.00,1.13,1.25,1.24,1223,197,6.21,124.81%,07/02/20
CZR,12.3,Put,15.00,01/21/22,568,3.60,3.83,4.05,3.77,3373,543,6.21,36.18%,07/02/20
FSLY,84.51,Put,57.00,07/17/20,15,0.15,0.2,0.25,0.20,617,100,6.17,106.60%,07/02/20
AAPL,364.11,Put,375.00,07/10/20,8,9.70,11.85,14.00,12.24,1295,212,6.11,23.65%,07/02/20
XOM,44.08,Call,45.00,07/10/20,8,0.42,0.44,0.45,0.45,5665,935,6.06,31.37%,07/02/20
WORK,30.31,Put,30.00,09/18/20,78,3.20,3.28,3.35,3.20,1932,321,6.02,61.38%,07/02/20
MRNA,58.57,Call,61.00,07/10/20,8,2.30,2.47,2.65,2.87,1362,227,6,112.29%,07/02/20
ARCC,14.48,Call,17.00,08/21/20,50,0.10,0.13,0.15,0.15,818,137,5.97,38.55%,07/02/20
TWLO,232.35,Call,235.00,07/10/20,8,4.85,5.07,5.30,5.10,632,106,5.96,45.70%,07/02/20
TUP,5.59,Call,7.50,08/21/20,50,0.55,0.65,0.75,0.58,2444,411,5.95,138.83%,07/02/20
PCG,9.45,Call,10.50,07/31/20,29,0.50,0.56,0.62,0.50,1686,286,5.9,83.06%,07/02/20
UPS,114.36,Call,115.00,07/24/20,22,2.80,3.05,3.30,3.10,842,143,5.89,29.97%,07/02/20
ROKU,128.65,Put,128.00,07/10/20,8,3.60,3.75,3.90,3.70,859,146,5.88,53.27%,07/02/20
ROKU,128.65,Call,145.00,07/10/20,8,0.52,0.57,0.61,0.56,3000,510,5.88,61.70%,07/02/20
PCG,9.45,Call,9.00,07/31/20,29,1.01,1.06,1.10,1.05,822,143,5.75,77.22%,07/02/20
WGO,65.96,Put,15.00,01/15/21,197,0.40,0.45,0.50,0.40,611,107,5.71,115.65%,07/02/20
DKNG,33.06,Call,33.50,07/10/20,8,1.30,1.38,1.45,1.35,872,153,5.7,79.19%,07/02/20
AMZN,2890.3,Put,2500.00,09/18/20,78,45.00,49.9,54.80,48.74,1745,306,5.7,36.94%,07/02/20
BABA,223.6,Put,225.00,06/18/21,351,26.15,27.08,28.00,26.50,2074,364,5.7,31.48%,07/02/20
NIO,9.38,Put,8.00,07/10/20,8,0.15,0.16,0.18,0.15,6976,1225,5.69,118.57%,07/02/20
FOLD,15.55,Call,20.00,01/15/21,197,1.05,1.35,1.65,1.50,3316,584,5.68,62.54%,07/02/20
MRNA,58.57,Call,65.00,07/10/20,8,1.35,1.45,1.55,1.45,3784,667,5.67,105.23%,07/02/20
BA,180.81,Call,202.50,07/10/20,8,1.24,1.29,1.33,1.28,3040,537,5.66,68.27%,07/02/20
AMZN,2890.3,Call,2900.00,07/10/20,8,39.95,43.23,46.50,41.65,5684,1004,5.66,26.86%,07/02/20
MSFT,206.26,Call,212.50,07/10/20,8,0.66,0.73,0.80,1.70,11002,1947,5.65,32.86%,07/02/20
BABA,223.6,Call,230.00,11/20/20,141,14.50,15.08,15.65,15.15,2122,376,5.64,31.43%,07/02/20
MS,47.79,Put,50.00,08/21/20,50,4.20,4.25,4.30,4.20,2505,446,5.62,42.02%,07/02/20
TSLA,1208.66,Call,1440.00,07/10/20,8,4.50,4.65,4.80,4.85,957,171,5.6,80.08%,07/02/20
TSLA,1208.66,Put,1075.00,07/17/20,15,12.90,13.13,13.35,13.65,1101,197,5.59,62.39%,07/02/20
INO,21.45,Call,22.00,07/10/20,8,1.50,1.58,1.65,1.55,3502,627,5.59,141.24%,07/02/20
GOOGL,1469.93,Call,1510.00,07/10/20,8,5.70,6.55,7.40,6.80,826,148,5.58,23.75%,07/02/20
SNAP,23.22,Call,22.00,07/10/20,8,1.33,1.38,1.43,1.35,3230,579,5.58,39.17%,07/02/20
BMY,59.14,Put,56.00,07/10/20,8,0.22,0.26,0.30,0.24,763,137,5.57,35.93%,07/02/20
TSLA,1208.66,Call,1360.00,07/10/20,8,7.85,8.33,8.80,8.20,3064,550,5.57,69.27%,07/02/20
BA,180.81,Call,315.00,12/18/20,169,5.00,5.2,5.40,5.10,1000,180,5.56,64.16%,07/02/20
AMZN,2890.3,Call,2920.00,07/17/20,15,52.00,54.73,57.45,52.11,1557,280,5.56,27.74%,07/02/20
TSLA,1208.66,Put,1100.00,07/17/20,15,17.20,17.5,17.80,17.50,2224,401,5.55,60.06%,07/02/20
FLXN,13.26,Call,12.50,07/17/20,15,1.15,1.25,1.35,1.20,1085,198,5.48,72.60%,07/02/20
NEM,60.96,Call,61.50,07/10/20,8,1.01,1.1,1.19,1.10,566,104,5.44,37.18%,07/02/20
M,6.8,Put,10.00,11/20/20,141,2.13,4.09,6.05,4.25,1015,188,5.4,117.11%,07/02/20
TSLA,1208.66,Put,1130.00,07/10/20,8,10.70,11,11.30,11.10,1064,197,5.4,55.54%,07/02/20
NVDA,384.49,Call,405.00,07/10/20,8,1.18,1.32,1.46,1.22,1350,250,5.4,31.31%,07/02/20
AMZN,2890.3,Call,2960.00,07/17/20,15,37.95,40.68,43.40,39.65,1218,226,5.39,28.89%,07/02/20
VIVO,23.79,Call,25.00,07/17/20,15,0.50,0.88,1.25,0.75,1060,198,5.35,63.86%,07/02/20
V,195.67,Call,205.00,07/10/20,8,0.20,0.27,0.33,0.27,3389,635,5.34,22.92%,07/02/20
ROKU,128.65,Call,160.00,07/10/20,8,0.14,0.26,0.38,0.15,2277,429,5.31,75.02%,07/02/20
